# staged exhibit — public APSB25-94 advisory + ModSec audit-log format — NOT customer data
# Apache combined log format. host-1 is a CLEAN Magento storefront — no
# webshell on disk, no compromise indicators in its own filesystem evidence.
# This log captures the demo's payoff moment (1:15 in demo/script.md):
# at 14:23:11 a credential-harvest probe arrives from the same /24 that
# previously hit hosts 2/4/7. ModSec rule 920099 — generated by blacklight's
# synthesizer from the cross-host capability_map of the PolyShell campaign
# AND deployed via the manifest BEFORE this probe arrived — fires and blocks
# the request with status 403. The block proves the anticipatory path: host
# never compromised, defense built from attribution on other hosts, attacker
# next-stage stopped at the door.
# IP allocation:
#   192.0.2.0/24   — RFC 5737 TEST-NET-1, legitimate users
#   198.51.100.0/24 — RFC 5737 TEST-NET-2, attacker recon + cred-harvest probe
192.0.2.110 - - [10/Apr/2026:14:18:02 +0000] "GET / HTTP/1.1" 200 14821 "https://shop1.example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.110 - - [10/Apr/2026:14:18:04 +0000] "GET /pub/static/frontend/Magento/luma/en_US/css/styles-m.css HTTP/1.1" 200 98211 "https://shop1.example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.111 - - [10/Apr/2026:14:18:11 +0000] "GET /catalog/category/view/id/2/ HTTP/1.1" 200 18221 "https://shop1.example.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.111 - - [10/Apr/2026:14:18:18 +0000] "GET /catalog/product/view/id/77/ HTTP/1.1" 200 22341 "https://shop1.example.com/catalog/category/view/id/2/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.112 - - [10/Apr/2026:14:18:33 +0000] "GET /pub/media/catalog/product/cache/3/image/800x/p77-main.jpg HTTP/1.1" 200 41020 "https://shop1.example.com/catalog/product/view/id/77/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.113 - - [10/Apr/2026:14:19:02 +0000] "GET /customer/account/login/ HTTP/1.1" 200 7220 "https://shop1.example.com/" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
192.0.2.113 - - [10/Apr/2026:14:19:11 +0000] "POST /customer/account/loginPost/ HTTP/1.1" 302 0 "https://shop1.example.com/customer/account/login/" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
192.0.2.114 - - [10/Apr/2026:14:20:01 +0000] "GET /catalog/product/view/id/14/ HTTP/1.1" 200 21100 "https://shop1.example.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1"
192.0.2.115 - - [10/Apr/2026:14:20:18 +0000] "GET /checkout/cart/ HTTP/1.1" 200 4720 "https://shop1.example.com/catalog/product/view/id/14/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.115 - - [10/Apr/2026:14:20:33 +0000] "POST /customer/section/load/ HTTP/1.1" 200 1204 "https://shop1.example.com/checkout/cart/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.116 - - [10/Apr/2026:14:21:01 +0000] "GET / HTTP/1.1" 200 14821 "https://shop1.example.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.116 - - [10/Apr/2026:14:21:18 +0000] "GET /catalogsearch/result/?q=jacket HTTP/1.1" 200 11421 "https://shop1.example.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.117 - - [10/Apr/2026:14:22:08 +0000] "GET /catalog/category/view/id/7/ HTTP/1.1" 200 18011 "https://shop1.example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.118 - - [10/Apr/2026:14:22:33 +0000] "POST /checkout/onepage/saveBilling/ HTTP/1.1" 200 2100 "https://shop1.example.com/checkout/" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
198.51.100.99 - - [10/Apr/2026:14:23:11 +0000] "POST /admin/admin/auth/login HTTP/1.1" 403 423 "https://shop1.example.com/admin" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 ModSec-Block: id 920099 anticipatory cred-harvest"
192.0.2.119 - - [10/Apr/2026:14:23:48 +0000] "GET /catalog/product/view/id/91/ HTTP/1.1" 200 22011 "https://shop1.example.com/catalog/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.120 - - [10/Apr/2026:14:24:18 +0000] "GET /customer/account/ HTTP/1.1" 200 6311 "https://shop1.example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
