# staged exhibit — APSB25-94 public advisory reconstruction — NOT customer data
# Apache combined log format. Represents ~45m of traffic on a compromised
# Magento 2.4.x store captured during IR. Three distinct attacker arcs:
#   198.51.100.23  — pre-compromise recon (404s on common exploit probes)
#   198.51.100.77  — APSB25-94 exploitation vector (REST guest-carts, SOAP, auth bypass)
#   203.0.113.42   — post-compromise webshell operation at the .cache/a.php path,
#                    URL-evasion double-extension (.jpg/.png/.gif) GETs + command POSTs
# Legitimate user IPs draw from 192.0.2.0/24 (RFC 5737 TEST-NET-1). Attacker IPs
# use 198.51.100.0/24 and 203.0.113.0/24 (RFC 5737 TEST-NET-2/3). No real ranges.
192.0.2.10 - - [22/Mar/2026:14:00:03 +0000] "GET / HTTP/1.1" 200 14832 "https://magento.example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.11 - - [22/Mar/2026:14:00:07 +0000] "GET /pub/static/frontend/Magento/luma/en_US/css/styles-m.css HTTP/1.1" 200 98211 "https://magento.example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.11 - - [22/Mar/2026:14:00:07 +0000] "GET /pub/static/frontend/Magento/luma/en_US/css/styles-l.css HTTP/1.1" 200 112044 "https://magento.example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.11 - - [22/Mar/2026:14:00:08 +0000] "GET /pub/static/frontend/Magento/luma/en_US/images/logo.svg HTTP/1.1" 200 2340 "https://magento.example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.11 - - [22/Mar/2026:14:00:08 +0000] "GET /pub/static/frontend/Magento/luma/en_US/Magento_Theme/js/view/loader.js HTTP/1.1" 200 8711 "https://magento.example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.12 - - [22/Mar/2026:14:00:12 +0000] "GET /customer/account/login/ HTTP/1.1" 200 7219 "https://magento.example.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.12 - - [22/Mar/2026:14:00:14 +0000] "GET /pub/static/frontend/Magento/luma/en_US/requirejs/require.js HTTP/1.1" 200 19041 "https://magento.example.com/customer/account/login/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.12 - - [22/Mar/2026:14:00:18 +0000] "POST /customer/account/loginPost/ HTTP/1.1" 302 0 "https://magento.example.com/customer/account/login/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.12 - - [22/Mar/2026:14:00:19 +0000] "GET /customer/account/ HTTP/1.1" 200 6211 "https://magento.example.com/customer/account/login/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.13 - - [22/Mar/2026:14:00:24 +0000] "GET /catalog/category/view/id/3/ HTTP/1.1" 200 18441 "https://magento.example.com/" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
